jisoo,,,,,,,,,,,,
id,img name,Category,Color,Attribute1,Attribute 2,Attribute 3,Similar_img1,Similar_img2,Similar_img3,URL_1,URL_2,URL_3
jennie,,,,,,,,,,,,
id,img name,Category,Color,Attribute1,Attribute 2,Attribute 3,Similar_img1,Similar_img2,Similar_img3,URL_1,URL_2,URL_3
1,jn_3,Tee,FFC0D6,tight,v_neckline,short_sleeve,pink_puff_sleeve_tee_17.png,pink_puff_sleeve_tee_23.png,pink_puff_sleeve_tee_3.png,https://www.amazon.com/Floerns-Womens-Layered-Ruffle-Sleeve/dp/B07FT4Q3MX/ref=sr_1_17?dchild=1&keywords=puff+short+sleeve+tshirt&qid=1622631471&refinements=p_n_size_browse-vebin%3A2343359011&rnid=1040660&s=fashion-womens-intl-ship&sr=1-17,https://www.amazon.com/DOROSE-Womens-Sleeve-Shirts-T-Shirts/dp/B08SM4ZSW7/ref=sr_1_23?dchild=1&keywords=puff+short+sleeve+tshirt&qid=1622631471&refinements=p_n_size_browse-vebin%3A2343359011&rnid=1040660&s=fashion-womens-intl-ship&sr=1-23,https://www.amazon.com/Valphsio-Womens-Sleeve-Ribbed-Elegant/dp/B08TTCZKS7/ref=sr_1_3?dchild=1&keywords=puff+short+sleeve+tshirt&qid=1622631471&refinements=p_n_size_browse-vebin%3A2343359011&rnid=1040660&s=fashion-womens-intl-ship&sr=1-3
2,jn_8,Dress,E5012A,sleeveless,mini_length,tight,red_lace_dress_48.png,red_lace_dress_62.png,red_lace_dress_3.png,https://www.amazon.com/VEIIASR-Fashion-Sleeveless-Cocktail-Red/dp/B072SKC6VW/ref=sr_1_48?dchild=1&keywords=sleeveless+lace+dress&qid=1622634308&refinements=p_n_size_browse-vebin%3A2343361011&rnid=2343347011&s=fashion-womens-intl-ship&sr=1-48,https://www.amazon.com/Women-Floral-Spaghetti-Strap-Sleeveless/dp/B08YJK3M4X/ref=sr_1_62?dchild=1&keywords=sleeveless+lace+dress&qid=1622634320&refinements=p_n_size_browse-vebin%3A2343361011&rnid=2343347011&s=fashion-womens-intl-ship&sr=1-62,https://www.amazon.com/MUADRESS-Vintage-Sleeveless-Cocktail-Burgundy/dp/B077XRGDPZ/ref=sr_1_3?dchild=1&keywords=sleeveless+lace+dress&qid=1622634308&refinements=p_n_size_browse-vebin%3A2343361011&rnid=2343347011&s=fashion-womens-intl-ship&sr=1-3
3,jn_12,Jeans,9EC5DF,denim,tight,maxi_length,jeans_36.png,jeans_46.png,jeans_25.png,https://www.amazon.com/Levis-Womens-Straight-Jeans-Maui/dp/B07PM2LP5F/ref=sr_1_36?,https://www.amazon.com/Gloria-Vanderbilt-Classic-Tapered-Callisto/dp/B079ZQRDNP/ref=sr_1_46?dchild=1&keywords=jeans&qid=1622598761&s=apparel&sr=1-46,https://www.amazon.com/Riders-Lee-Indigo-Womens-Boyfriend/dp/B0733SN59M/ref=sr_1_25?dchild=1&keywords=jeans&qid=1622598761&s=apparel&sr=1-25
4,jn_18,Joggers,474A3E,loose,cotton,maxi_length,joggers_44.png,joggers_26.png,joggers_48.png,https://www.amazon.com/Nirovien-Elastic-Drawstring-Cropped-Trousers/dp/B0874JSPSR/ref=sr_1_44?dchild=1&keywords=joggers&qid=1622555814&s=apparel&sr=1-44,https://www.amazon.com/Jessica-Simpson-Womens-Utility-Jogger/dp/B087Q1T6XN/ref=sr_1_26?dchild=1&keywords=joggers&qid=1622555814&s=apparel&sr=1-26,https://www.amazon.com/GUYUEQIQIN-Outdoor-Elastic-Waisted-Workout/dp/B07PWNWBR3/ref=sr_1_48?dchild=1&keywords=joggers&qid=1622555814&s=apparel&sr=1-48
5,jn_22,Jumpsuit,99B9E3,denim,mini_length,sleeveless,denim_overalls_50.png,denim_overalls_15.png,denim_overalls_9.png,https://www.amazon.com/WallFlower-Womens-Juniors-InstaSoft-Shortalls/dp/B079Q7SGB6/ref=sr_1_50?dchild=1&keywords=denim+overalls+short&qid=1622562081&rnid=1040660&s=fashion-womens-intl-ship&sr=1-50,https://www.amazon.com/GRAPENT-Womens-Adjustable-Distressed-Overalls/dp/B07SM58RWP/ref=sr_1_15?dchild=1&keywords=denim+overalls+short&qid=1622562070&rnid=1040660&s=fashion-womens-intl-ship&sr=1-15,https://www.amazon.com/luvamia-Womens-Adjustable-Overalls-Overall/dp/B084KY9XPT/ref=sr_1_9?dchild=1&keywords=denim+overalls+short&qid=1622562070&rnid=1040660&s=fashion-womens-intl-ship&sr=1-9
6,jn_29,Cardigan,66564C,long_sleeve,striped,cotton,striped_cardigan_26.png,striped_cardigan_50.png,striped_cardigan_8.png,https://www.amazon.com/Mud-Pie-Womens-Striped-Cardigan/dp/B07RN52597/ref=sr_1_26?dchild=1&keywords=striped+cardigan&qid=1622641130&refinements=p_n_size_browse-vebin%3A2343349011%7C2343363011&rnid=2343347011&s=apparel&sr=1-26,https://www.amazon.com/Polo-Ralph-Lauren-Clothing-Cardigan/dp/B00FRZJK0O/ref=sr_1_50?dchild=1&keywords=striped+cardigan&qid=1622641130&refinements=p_n_size_browse-vebin%3A2343349011%7C2343363011&rnid=2343347011&s=apparel&sr=1-50,https://www.amazon.com/Amazon-Essentials-Crewneck-Cardigan-Sweater/dp/B07F2J8T53/ref=sr_1_8?dchild=1&keywords=striped+cardigan&qid=1622641130&refinements=p_n_size_browse-vebin%3A2343349011%7C2343363011&rnid=2343347011&s=apparel&sr=1-8
7,jn_new_2,Sweater,F22848,long_sleeve,crew_neckline,loose,red_sweater_3.png,red_sweater_10.png,red_sweater_8.png,https://www.amazon.com/Amazon-Essentials-Lightweight-Long-Sleeve-Turtleneck/dp/B08C8H9ZMN/ref=sr_1_3?dchild=1&keywords=sweater&qid=1622705535&refinements=p_n_size_browse-vebin%3A2343361011&rnid=1044456&s=apparel&sr=1-3,https://www.amazon.com/Lucky-Brand-Womens-Bobble-Sweater/dp/B07Y2Q5VQ8/ref=sr_1_10?dchild=1&keywords=sweater&qid=1622705535&refinements=p_n_size_browse-vebin%3A2343361011&rnid=1044456&s=apparel&sr=1-10,https://www.amazon.com/Amazon-Essentials-Lightweight-Boat-Neck-Sweater/dp/B0868KD2QR/ref=sr_1_8?dchild=1&keywords=sweater&qid=1622705535&refinements=p_n_size_browse-vebin%3A2343361011&rnid=1044456&s=apparel&sr=1-8
8,jn_new_4,Dress,F5F6F7,mini_length,long_sleeve,crew_neckline,white_dress_59.png,white_dress_28.png,white_dress_32.png,https://www.amazon.com/LAGSHIAN-Fashion-Peplum-Bodycon-Sleeve/dp/B07SGHFPSF/ref=sr_1_59?dchild=1&keywords=dress&qid=1622706855&refinements=p_n_size_browse-vebin%3A2343363011&rnid=1045024&s=fashion-womens-intl-ship&sr=1-59,https://www.amazon.com/VFSHOW-Off-White-Pleated-Business-Bodycon/dp/B07Y1TXZX7/ref=sr_1_28?dchild=1&keywords=dress&qid=1622706846&refinements=p_n_size_browse-vebin%3A2343363011&rnid=1045024&s=fashion-womens-intl-ship&sr=1-28,https://www.amazon.com/Calvin-Klein-Womens-Chiffon-Popover/dp/B083JY7VGB/ref=sr_1_32?dchild=1&keywords=dress&qid=1622706846&refinements=p_n_size_browse-vebin%3A2343363011&rnid=1045024&s=fashion-womens-intl-ship&sr=1-32
